energy         p_x            p_y            p_z
1.180304e+00   -4.751910e-01  -7.889777e-01  -7.305207e-01 
2.080963e+00   1.452333e+00   -4.622423e-01  1.412906e+00  
1.743646e+00   1.421417e+00   -3.871017e-01  9.267482e-01  
1.541235e+00   -1.059296e-01  -1.395949e+00  -6.358849e-01 
1.617172e+00   1.401164e+00   -8.951803e-03  8.004645e-01  
2.035846e+00   -4.445600e-02  1.965886e+00   5.165461e-01  
1.202767e+00   -1.163040e+00  1.832017e-01   -2.219467e-01 
2.567302e+00   -2.095504e+00  8.135615e-02   1.477200e+00  
2.603921e+00   -9.120621e-01  -1.848932e+00  1.587083e+00  
2.523255e+00   2.622356e-01   -1.991126e+00  1.523911e+00  
2.233162e+00   -1.252426e+00  1.779797e+00   4.894894e-01  
2.276338e+00   -1.044715e+00  5.443484e-01   1.944943e+00  
2.208343e+00   1.969946e+00   -3.294630e-01  9.361521e-01  
1.679185e+00   1.460185e+00   7.744986e-01   2.766050e-01  
1.097246e+00   2.343778e-01   -1.065456e+00  -5.151948e-02 
1.192835e+00   -9.905712e-01  5.303552e-01   3.862431e-01  
3.180005e+00   -7.034522e-01  1.516622e+00   2.703014e+00  
2.583735e+00   7.747896e-01   -1.303546e+00  2.089256e+00  
1.953654e+00   1.482216e-01   1.877128e+00   5.099221e-01  
2.217959e+00   5.964227e-01   1.990123e+00   7.693304e-01  
2.307544e+00   -1.608457e+00  5.832562e-01   1.544757e+00  
1.705716e+00   -4.596864e-01  1.543895e+00   5.508014e-01  
2.343682e+00   1.468491e+00   -4.265070e-01  1.772938e+00  
2.371860e+00   -1.794360e+00  1.057422e+00   1.129905e+00  
1.370261e+00   4.528853e-01   1.226287e+00   -3.969452e-01 
2.294908e+00   2.271728e-02   -2.027759e+00  1.069166e+00  
2.875299e+00   1.594167e+00   1.849570e+00   1.514564e+00  
2.917657e+00   1.757843e+00   5.340980e-01   2.264131e+00  
2.766238e+00   -1.591074e+00  1.628313e+00   1.567799e+00  
2.030203e+00   -1.662516e+00  -4.085008e-01  1.086154e+00  
2.698105e+00   -5.955992e-01  -1.737854e+00  1.973255e+00  
2.095454e+00   5.345570e-01   1.171157e+00   1.649971e+00  
2.118398e+00   1.290140e+00   1.337788e+00   1.011093e+00  
1.129607e+00   -6.164498e-01  7.138193e-01   -6.126172e-01 
1.987723e+00   7.570301e-01   -1.814894e+00  2.700781e-01  
2.018107e+00   -6.774516e-02  -1.672229e+00  1.122789e+00  
